# Raja Jain
+--------------------+-----------------+--------+
|              window|         Hashtags|trending|
|{2018-07-11 21:00:00, 2018-07-11 22:00:00}|football         |153     |
|{2018-07-11 21:00:00, 2018-07-11 22:00:00}|WorldCup         |2402    |
|{2018-07-15 04:00:00, 2018-07-15 05:00:00}|WorldCup         |408     |
|{2018-07-15 05:00:00, 2018-07-15 06:00:00}|worldcup         |126     |
|{2018-07-15 05:00:00, 2018-07-15 06:00:00}|WorldCup         |1055    |
|{2018-07-15 06:00:00, 2018-07-15 07:00:00}|worldcup         |158     |
|{2018-07-15 06:00:00, 2018-07-15 07:00:00}|WorldCup         |1126    |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|Worldcup         |142     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|ENG              |397     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|FRA              |939     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|France           |469     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|croatia          |822     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|Russia2018       |101     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|EXO              |127     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|Croatia          |618     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|FrancevsCroatia  |121     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|WorldCupFinal    |1063    |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|FRACRO           |683     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|worldcup         |2395    |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|france           |876     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|ThreeLions       |375     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|CRO              |368     |
|{2018-07-15 17:00:00, 2018-07-15 18:00:00}|WorldCup         |9473    |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|CRO              |140     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|Croatia          |153     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|MUFC             |458     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|croatia          |608     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|WorldCupFinal    |507     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|WorldCup         |4142    |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|ThreeLions       |184     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|france           |620     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|FRACRO           |287     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|France           |214     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|ENG              |199     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|FRA              |402     |
|{2018-07-15 18:00:00, 2018-07-15 19:00:00}|worldcup         |1274    |
|{2018-07-15 22:00:00, 2018-07-15 23:00:00}|WorldCup         |557     |
|{2018-07-15 23:00:00, 2018-07-16 00:00:00}|WorldCup         |743     |
|{2018-07-15 23:00:00, 2018-07-16 00:00:00}|worldcup         |106     |
+------------------------------------------+-----------------+--------+
